Species,NewWorld,Detected,ZikaDetected,mean.score,median.score,sd.score,NA.nums
Cercopithecus_cephus,FALSE,FALSE,FALSE,0.113,0.111,0.043,2
Cercopithecus_denti,FALSE,FALSE,FALSE,0.164,0.146,0.102,19
Cercopithecus_diana,FALSE,FALSE,FALSE,0.114,0.115,0.05,3
Cercopithecus_doggetti,FALSE,FALSE,FALSE,0.06,0.054,0.038,21
Cercopithecus_dryas,FALSE,FALSE,FALSE,0.082,0.077,0.069,18
Cercopithecus_erythrogaster,FALSE,FALSE,FALSE,0.092,0.08,0.062,13
Cercopithecus_erythrotis,FALSE,FALSE,FALSE,0.061,0.056,0.04,13
Cercopithecus_hamlyni,FALSE,FALSE,FALSE,0.121,0.123,0.089,21
Cercopithecus_kandti,FALSE,FALSE,FALSE,0.085,0.055,0.097,21
Cercopithecus_lhoesti,FALSE,FALSE,FALSE,0.138,0.141,0.062,10
Cercopithecus_lowei,FALSE,FALSE,FALSE,0.076,0.07,0.053,21
Cercopithecus_mitis,FALSE,FALSE,FALSE,0.453,0.424,0.17,3
Cercopithecus_mona,FALSE,FALSE,FALSE,0.172,0.169,0.071,15
Cercopithecus_neglectus,FALSE,FALSE,FALSE,0.222,0.229,0.067,1
Cercopithecus_nictitans,FALSE,FALSE,FALSE,0.221,0.203,0.078,4
Cercopithecus_petaurista,FALSE,FALSE,FALSE,0.141,0.143,0.045,14
Cercopithecus_pogonias,FALSE,FALSE,FALSE,0.183,0.177,0.057,3
Cercopithecus_preussi,FALSE,FALSE,FALSE,0.082,0.069,0.063,14
Cercopithecus_roloway,FALSE,FALSE,FALSE,0.067,0.057,0.048,21
Cercopithecus_sclateri,FALSE,FALSE,FALSE,0.082,0.08,0.055,18
Cercopithecus_solatus,FALSE,FALSE,FALSE,0.051,0.046,0.036,14
Cercopithecus_wolfi,FALSE,FALSE,FALSE,0.177,0.156,0.087,16
Cheirogaleus_adipicaudatus,FALSE,FALSE,FALSE,0.089,0.08,0.054,21
Cheirogaleus_crossleyi,FALSE,FALSE,FALSE,0.093,0.062,0.116,21
Cheirogaleus_major,FALSE,FALSE,FALSE,0.1,0.098,0.073,3
Cheirogaleus_medius,FALSE,FALSE,FALSE,0.064,0.071,0.042,0
Cheirogaleus_minusculus,FALSE,FALSE,FALSE,0.054,0.052,0.04,21
Cheirogaleus_ravus,FALSE,FALSE,FALSE,0.034,0.027,0.026,21
Cheirogaleus_sibreei,FALSE,FALSE,FALSE,0.037,0.031,0.027,21
Chiropotes_albinasus,TRUE,FALSE,FALSE,0.228,0.241,0.109,7
Chiropotes_satanas,TRUE,FALSE,FALSE,0.16,0.13,0.159,22
Chlorocebus_aethiops,FALSE,TRUE,TRUE,0.258,0.233,0.116,16
Chlorocebus_cynosuros,FALSE,FALSE,FALSE,0.104,0.086,0.082,21
Chlorocebus_djamdjamensis,FALSE,FALSE,FALSE,0.089,0.103,0.068,21
Chlorocebus_pygerythrus,FALSE,FALSE,FALSE,0.3,0.302,0.172,21
Chlorocebus_sabaeus,FALSE,FALSE,FALSE,0.155,0.131,0.118,21
Chlorocebus_tantalus,FALSE,FALSE,FALSE,0.248,0.199,0.14,21
Colobus_angolensis,FALSE,FALSE,FALSE,0.255,0.22,0.16,13
Colobus_guereza,FALSE,FALSE,FALSE,0.338,0.324,0.115,1
Colobus_polykomos,FALSE,FALSE,FALSE,0.128,0.123,0.054,3
Colobus_satanas,FALSE,FALSE,FALSE,0.139,0.137,0.069,8
Colobus_vellerosus,FALSE,FALSE,FALSE,0.232,0.233,0.079,15
Daubentonia_madagascariensis,FALSE,FALSE,FALSE,0.09,0.092,0.059,1
Erythrocebus_patas,FALSE,TRUE,TRUE,0.576,0.605,0.204,2
Eulemur_albifrons,FALSE,FALSE,FALSE,0.07,0.063,0.055,21
Eulemur_albocollaris,FALSE,FALSE,FALSE,0.05,0.05,0.038,20
Eulemur_cinereiceps,FALSE,FALSE,FALSE,0.029,0.026,0.023,21
Eulemur_collaris,FALSE,FALSE,FALSE,0.056,0.065,0.034,21
Eulemur_coronatus,FALSE,FALSE,FALSE,0.1,0.084,0.081,6
Eulemur_fulvus,FALSE,FALSE,FALSE,0.102,0.105,0.068,0
Eulemur_macaco,FALSE,FALSE,FALSE,0.148,0.149,0.094,2
Eulemur_mongoz,FALSE,FALSE,FALSE,0.118,0.118,0.109,2
Eulemur_rubriventer,FALSE,FALSE,FALSE,0.123,0.105,0.092,5
Eulemur_rufus,FALSE,FALSE,FALSE,0.139,0.101,0.141,17
Eulemur_sanfordi,FALSE,FALSE,FALSE,0.068,0.059,0.048,18
Euoticus_elegantulus,FALSE,FALSE,FALSE,0.132,0.137,0.084,11
Euoticus_pallidus,FALSE,FALSE,FALSE,0.063,0.07,0.032,20
Galago_alleni,FALSE,FALSE,FALSE,0.03,0.028,0.023,7
Galago_cameronensis,FALSE,FALSE,FALSE,0.07,0.056,0.062,21
Galago_demidoff,FALSE,FALSE,FALSE,0.087,0.113,0.05,4
Galago_gabonensis,FALSE,FALSE,FALSE,0.104,0.082,0.069,21
Galago_gallarum,FALSE,FALSE,FALSE,0.179,0.191,0.084,20
Galago_granti,FALSE,FALSE,FALSE,0.099,0.091,0.072,21
Galago_matschiei,FALSE,FALSE,FALSE,0.074,0.05,0.076,17
Galago_moholi,FALSE,FALSE,FALSE,0.196,0.176,0.135,6
Galago_nyasae,FALSE,FALSE,FALSE,0.049,0.052,0.033,21
Galago_orinus,FALSE,FALSE,FALSE,0.078,0.079,0.055,21
Galago_rondoensis,FALSE,FALSE,FALSE,0.073,0.061,0.068,21
Galago_senegalensis,FALSE,FALSE,FALSE,0.202,0.202,0.116,4
Galago_thomasi,FALSE,FALSE,FALSE,0.093,0.079,0.087,19
Galago_zanzibaricus,FALSE,FALSE,FALSE,0.241,0.26,0.148,7
Gorilla_beringei,FALSE,FALSE,FALSE,0.131,0.138,0.059,20
Gorilla_gorilla,FALSE,FALSE,FALSE,0.103,0.092,0.06,1
Hapalemur_alaotrensis,FALSE,FALSE,FALSE,0.042,0.038,0.032,20
Hapalemur_aureus,FALSE,FALSE,FALSE,0.1,0.088,0.078,6
Hapalemur_griseus,FALSE,FALSE,FALSE,0.071,0.071,0.05,0
Hapalemur_occidentalis,FALSE,FALSE,FALSE,0.065,0.061,0.051,21
Hylobates_agilis,FALSE,FALSE,FALSE,0.199,0.227,0.1,10
Hylobates_albibarbis,FALSE,FALSE,FALSE,0.149,0.1,0.179,21
Hylobates_klossii,FALSE,FALSE,FALSE,0.065,0.071,0.044,10
Hylobates_lar,FALSE,FALSE,FALSE,0.214,0.2,0.104,3
Hylobates_moloch,FALSE,FALSE,FALSE,0.116,0.101,0.091,9
Hylobates_muelleri,FALSE,FALSE,FALSE,0.112,0.127,0.061,8
Hylobates_pileatus,FALSE,FALSE,FALSE,0.133,0.118,0.069,4
Indri_indri,FALSE,FALSE,FALSE,0.071,0.076,0.044,4
Lagothrix_cana,TRUE,FALSE,FALSE,0.136,0.13,0.09,21
Lagothrix_lagotricha,TRUE,FALSE,FALSE,0.117,0.123,0.036,1
Lagothrix_lugens,TRUE,FALSE,FALSE,0.133,0.104,0.116,21
Lagothrix_poeppigii,TRUE,FALSE,FALSE,0.104,0.114,0.068,21
Lemur_catta,FALSE,TRUE,FALSE,0.198,0.215,0.068,1
Leontopithecus_caissara,TRUE,FALSE,FALSE,0.061,0.065,0.045,16
Leontopithecus_chrysomelas,TRUE,FALSE,FALSE,0.071,0.078,0.049,13
Leontopithecus_chrysopygus,TRUE,FALSE,FALSE,0.089,0.094,0.053,12
Leontopithecus_rosalia,TRUE,FALSE,FALSE,0.08,0.087,0.052,1
Lepilemur_ankaranensis,FALSE,FALSE,FALSE,0.098,0.056,0.122,21
Lepilemur_dorsalis,FALSE,FALSE,FALSE,0.051,0.048,0.041,12
Lepilemur_edwardsi,FALSE,FALSE,FALSE,0.057,0.052,0.047,10
Lepilemur_leucopus,FALSE,FALSE,FALSE,0.039,0.041,0.027,5
Lepilemur_microdon,FALSE,FALSE,FALSE,0.065,0.07,0.042,11
Lepilemur_mustelinus,FALSE,FALSE,FALSE,0.077,0.068,0.07,4
Lepilemur_ruficaudatus,FALSE,FALSE,FALSE,0.055,0.046,0.045,9
Lepilemur_septentrionalis,FALSE,FALSE,FALSE,0.087,0.049,0.1,21
Lophocebus_albigena,FALSE,FALSE,FALSE,0.223,0.217,0.058,0
Lophocebus_aterrimus,FALSE,FALSE,FALSE,0.13,0.106,0.084,13
Lophocebus_opdenboschi,FALSE,FALSE,FALSE,0.068,0.06,0.052,21
Loris_lydekkerianus,FALSE,FALSE,FALSE,0.221,0.228,0.139,20
Loris_tardigradus,FALSE,FALSE,FALSE,0.09,0.075,0.064,1
Macaca_arctoides,FALSE,FALSE,FALSE,0.337,0.348,0.123,7
Macaca_assamensis,FALSE,FALSE,FALSE,0.274,0.282,0.108,17
Macaca_cyclopis,FALSE,FALSE,FALSE,0.223,0.226,0.097,12
Macaca_fascicularis,FALSE,TRUE,FALSE,0.842,1,0.247,4
Macaca_fuscata,FALSE,TRUE,FALSE,0.39,0.414,0.13,3
Macaca_hecki,FALSE,FALSE,FALSE,0.108,0.097,0.073,22
Macaca_leonina,FALSE,TRUE,FALSE,0.354,0.335,0.157,21
Macaca_maura,FALSE,FALSE,FALSE,0.111,0.099,0.071,12
Macaca_mulatta,FALSE,TRUE,FALSE,0.563,0.565,0.142,4
Macaca_nemestrina,FALSE,TRUE,FALSE,0.545,0.607,0.169,4
Macaca_nigra,FALSE,FALSE,FALSE,0.13,0.118,0.063,7
Macaca_nigrescens,FALSE,FALSE,FALSE,0.118,0.134,0.069,21
Macaca_ochreata,FALSE,FALSE,FALSE,0.127,0.15,0.08,20
Macaca_pagensis,FALSE,FALSE,FALSE,0.091,0.108,0.05,14
Macaca_radiata,FALSE,FALSE,FALSE,0.507,0.433,0.27,5
Macaca_siberu,FALSE,FALSE,FALSE,0.095,0.082,0.097,23
Macaca_silenus,FALSE,FALSE,FALSE,0.293,0.24,0.13,0
Macaca_sinica,FALSE,TRUE,FALSE,0.283,0.264,0.079,6
Macaca_sylvanus,FALSE,TRUE,FALSE,0.354,0.338,0.114,1
Macaca_thibetana,FALSE,FALSE,FALSE,0.193,0.192,0.072,11
Macaca_tonkeana,FALSE,FALSE,FALSE,0.15,0.117,0.093,17
Mandrillus_leucophaeus,FALSE,FALSE,FALSE,0.109,0.124,0.055,4
Mandrillus_sphinx,FALSE,TRUE,FALSE,0.398,0.395,0.116,1
Microcebus_berthae,FALSE,FALSE,FALSE,0.028,0.025,0.024,20
Microcebus_griseorufus,FALSE,FALSE,FALSE,0.055,0.058,0.036,20
Microcebus_murinus,FALSE,FALSE,FALSE,0.061,0.073,0.039,0
Microcebus_myoxinus,FALSE,FALSE,FALSE,0.039,0.037,0.03,11
Microcebus_ravelobensis,FALSE,FALSE,FALSE,0.031,0.03,0.023,20
Microcebus_rufus,FALSE,FALSE,FALSE,0.054,0.057,0.034,4
Microcebus_sambiranensis,FALSE,FALSE,FALSE,0.049,0.028,0.066,20
Microcebus_tavaratra,FALSE,FALSE,FALSE,0.038,0.031,0.032,20
Miopithecus_ogouensis,FALSE,FALSE,FALSE,0.109,0.091,0.069,21
Miopithecus_talapoin,FALSE,FALSE,FALSE,0.165,0.157,0.049,0
Mirza_coquereli,FALSE,FALSE,FALSE,0.049,0.048,0.034,0
Nasalis_larvatus,FALSE,FALSE,FALSE,0.397,0.441,0.199,1
Nomascus_concolor,FALSE,FALSE,FALSE,0.099,0.113,0.058,2
Nomascus_gabriellae,FALSE,FALSE,FALSE,0.117,0.109,0.083,19
Nomascus_hainanus,FALSE,FALSE,FALSE,0.15,0.1,0.129,21
Nomascus_leucogenys,FALSE,FALSE,FALSE,0.078,0.064,0.063,16
Nomascus_siki,FALSE,FALSE,FALSE,0.13,0.096,0.11,21
Nycticebus_bengalensis,FALSE,FALSE,FALSE,0.291,0.333,0.145,20
Nycticebus_coucang,FALSE,FALSE,FALSE,0.232,0.239,0.159,3
Nycticebus_pygmaeus,FALSE,FALSE,FALSE,0.113,0.112,0.087,16
Oreonax_flavicauda,TRUE,FALSE,FALSE,0.091,0.1,0.045,8
Otolemur_crassicaudatus,FALSE,FALSE,FALSE,0.275,0.313,0.157,3
Otolemur_garnettii,FALSE,FALSE,FALSE,0.185,0.185,0.118,5
Otolemur_monteiri,FALSE,FALSE,FALSE,0.145,0.132,0.097,19
Pan_paniscus,FALSE,FALSE,FALSE,0.163,0.143,0.068,2
Pan_troglodytes,FALSE,FALSE,FALSE,0.249,0.225,0.122,0
Papio_anubis,FALSE,FALSE,FALSE,0.509,0.415,0.239,7
Papio_cynocephalus,FALSE,FALSE,FALSE,0.424,0.38,0.177,4
Papio_hamadryas,FALSE,FALSE,FALSE,0.314,0.192,0.289,3
Papio_papio,FALSE,FALSE,FALSE,0.264,0.229,0.137,11
Papio_ursinus,FALSE,FALSE,FALSE,0.187,0.151,0.102,4
Perodicticus_potto,FALSE,FALSE,FALSE,0.169,0.166,0.119,1
Phaner_electromontis,FALSE,FALSE,FALSE,0.055,0.057,0.038,21
Phaner_furcifer,FALSE,FALSE,FALSE,0.086,0.081,0.066,6
Phaner_pallescens,FALSE,FALSE,FALSE,0.096,0.059,0.127,21
Phaner_parienti,FALSE,FALSE,FALSE,0.038,0.037,0.025,21
Piliocolobus_badius,FALSE,FALSE,FALSE,0.206,0.166,0.114,3
Piliocolobus_foai,FALSE,FALSE,FALSE,0.166,0.153,0.092,21
Piliocolobus_gordonorum,FALSE,FALSE,FALSE,0.078,0.091,0.044,21
Piliocolobus_kirkii,FALSE,FALSE,FALSE,0.078,0.093,0.051,13
Piliocolobus_pennantii,FALSE,FALSE,FALSE,0.15,0.147,0.076,18
Piliocolobus_preussi,FALSE,FALSE,FALSE,0.138,0.142,0.078,9
Piliocolobus_rufomitratus,FALSE,FALSE,FALSE,0.152,0.142,0.086,8
Piliocolobus_tephrosceles,FALSE,FALSE,FALSE,0.24,0.218,0.196,17
Piliocolobus_tholloni,FALSE,FALSE,FALSE,0.11,0.106,0.064,20
Pithecia_aequatorialis,TRUE,FALSE,FALSE,0.085,0.087,0.048,14
Pithecia_albicans,TRUE,FALSE,FALSE,0.073,0.062,0.071,16
Pithecia_irrorata,TRUE,FALSE,FALSE,0.103,0.084,0.082,16
Pithecia_monachus,TRUE,FALSE,FALSE,0.147,0.127,0.118,9
Pithecia_pithecia,TRUE,TRUE,FALSE,0.173,0.193,0.056,2
Pongo_abelii,FALSE,FALSE,FALSE,0.1,0.102,0.054,20
Pongo_pygmaeus,FALSE,FALSE,FALSE,0.108,0.125,0.069,0
Presbytis_chrysomelas,FALSE,FALSE,FALSE,0.109,0.05,0.114,21
Presbytis_comata,FALSE,FALSE,FALSE,0.137,0.145,0.084,8
Presbytis_femoralis,FALSE,FALSE,FALSE,0.217,0.173,0.153,16
Presbytis_frontata,FALSE,FALSE,FALSE,0.181,0.185,0.106,18
Presbytis_hosei,FALSE,FALSE,FALSE,0.127,0.117,0.102,15
Presbytis_melalophos,FALSE,FALSE,FALSE,0.171,0.16,0.105,10
Presbytis_natunae,FALSE,FALSE,FALSE,0.074,0.044,0.084,23
Presbytis_potenziani,FALSE,FALSE,FALSE,0.069,0.079,0.041,15
Presbytis_rubicunda,FALSE,FALSE,FALSE,0.177,0.194,0.066,10
Presbytis_siamensis,FALSE,FALSE,FALSE,0.203,0.155,0.184,18
Presbytis_thomasi,FALSE,FALSE,FALSE,0.145,0.116,0.098,14
Procolobus_verus,FALSE,FALSE,FALSE,0.095,0.113,0.043,10
Prolemur_simus,FALSE,FALSE,FALSE,0.085,0.102,0.053,8
Propithecus_coquereli,FALSE,FALSE,FALSE,0.103,0.12,0.058,11
Propithecus_deckenii,FALSE,FALSE,FALSE,0.081,0.075,0.078,21
Propithecus_diadema,FALSE,FALSE,FALSE,0.092,0.105,0.052,2
Propithecus_edwardsi,FALSE,FALSE,FALSE,0.072,0.065,0.051,18
Propithecus_perrieri,FALSE,FALSE,FALSE,0.052,0.05,0.041,21
Propithecus_tattersalli,FALSE,FALSE,FALSE,0.086,0.098,0.056,8
Propithecus_verreauxi,FALSE,FALSE,FALSE,0.14,0.142,0.079,1
Pygathrix_cinerea,FALSE,FALSE,FALSE,0.094,0.104,0.064,21
Pygathrix_nemaeus,FALSE,FALSE,FALSE,0.219,0.194,0.133,8
Pygathrix_nigripes,FALSE,FALSE,FALSE,0.162,0.131,0.099,16
Rhinopithecus_avunculus,FALSE,FALSE,FALSE,0.122,0.107,0.076,13
Rhinopithecus_bieti,FALSE,FALSE,FALSE,0.17,0.172,0.106,10
Rhinopithecus_brelichi,FALSE,FALSE,FALSE,0.187,0.149,0.159,9
Rhinopithecus_roxellana,FALSE,FALSE,FALSE,0.24,0.229,0.116,9
Saguinus_bicolor,TRUE,FALSE,FALSE,0.124,0.106,0.08,11
Saguinus_fuscicollis,TRUE,FALSE,FALSE,0.126,0.134,0.095,2
Saguinus_geoffroyi,TRUE,FALSE,FALSE,0.087,0.099,0.054,8
Saguinus_graellsi,TRUE,FALSE,FALSE,0.1,0.094,0.089,21
Saguinus_imperator,TRUE,FALSE,FALSE,0.052,0.057,0.038,9
Saguinus_inustus,TRUE,FALSE,FALSE,0.091,0.091,0.079,17
Saguinus_labiatus,TRUE,FALSE,FALSE,0.092,0.093,0.059,8
Saguinus_leucopus,TRUE,FALSE,FALSE,0.089,0.091,0.06,9
Saguinus_martinsi,TRUE,FALSE,FALSE,0.062,0.062,0.042,21
Saguinus_melanoleucus,TRUE,FALSE,FALSE,0.057,0.062,0.04,21
Saguinus_midas,TRUE,TRUE,FALSE,0.212,0.22,0.083,1
Saguinus_mystax,TRUE,FALSE,FALSE,0.166,0.167,0.089,6
Saguinus_niger,TRUE,FALSE,FALSE,0.121,0.116,0.089,21
Saguinus_nigricollis,TRUE,FALSE,FALSE,0.066,0.077,0.039,8
Saguinus_oedipus,TRUE,FALSE,FALSE,0.155,0.162,0.056,1
Saguinus_pileatus,TRUE,FALSE,FALSE,0.068,0.047,0.07,21
Saguinus_tripartitus,TRUE,FALSE,FALSE,0.052,0.049,0.038,17
Saimiri_boliviensis,TRUE,FALSE,FALSE,0.299,0.266,0.138,14
Saimiri_oerstedii,TRUE,FALSE,FALSE,0.086,0.079,0.056,7
Saimiri_sciureus,TRUE,FALSE,FALSE,0.255,0.269,0.063,1
Saimiri_ustus,TRUE,FALSE,FALSE,0.116,0.102,0.082,14
Saimiri_vanzolinii,TRUE,FALSE,FALSE,0.074,0.068,0.042,17
Semnopithecus_ajax,FALSE,FALSE,FALSE,0.118,0.097,0.095,21
Semnopithecus_dussumieri,FALSE,FALSE,FALSE,0.305,0.314,0.14,21
Semnopithecus_entellus,FALSE,FALSE,FALSE,0.37,0.345,0.178,3
Semnopithecus_hector,FALSE,FALSE,FALSE,0.096,0.092,0.064,21
Semnopithecus_hypoleucos,FALSE,FALSE,FALSE,0.183,0.147,0.134,19
Semnopithecus_priam,FALSE,FALSE,FALSE,0.241,0.176,0.133,21
Semnopithecus_schistaceus,FALSE,FALSE,FALSE,0.127,0.103,0.093,21
Simias_concolor,FALSE,FALSE,FALSE,0.091,0.084,0.068,11
Symphalangus_syndactylus,FALSE,FALSE,FALSE,0.142,0.15,0.079,3
Tarsius_bancanus,FALSE,FALSE,FALSE,0.082,0.09,0.055,1
Tarsius_dentatus,FALSE,FALSE,FALSE,0.051,0.06,0.033,14
Tarsius_pelengensis,FALSE,FALSE,FALSE,0.065,0.057,0.052,21
Tarsius_pumilus,FALSE,FALSE,FALSE,0.061,0.072,0.043,18
Tarsius_sangirensis,FALSE,FALSE,FALSE,0.063,0.073,0.045,23
Tarsius_syrichta,FALSE,FALSE,FALSE,0.074,0.068,0.062,7
Tarsius_tarsier,FALSE,FALSE,FALSE,0.136,0.142,0.098,3
Theropithecus_gelada,FALSE,FALSE,FALSE,0.268,0.241,0.132,3
