Species,NewWorld,Detected,ZikaDetected,mean.score,median.score,sd.score,NA.nums
Cercocebus_sanjei,FALSE,FALSE,FALSE,0.085,0.031,0.097,21
Cercocebus_torquatus,FALSE,FALSE,FALSE,0.324,0.269,0.236,6
Cercopithecus_albogularis,FALSE,FALSE,FALSE,0.654,0.829,0.413,15
Cercopithecus_ascanius,FALSE,FALSE,FALSE,0.411,0.345,0.278,2
Cercopithecus_campbelli,FALSE,FALSE,FALSE,0.129,0.11,0.091,9
Cercopithecus_cephus,FALSE,FALSE,FALSE,0.211,0.189,0.134,2
Cercopithecus_denti,FALSE,FALSE,FALSE,0.26,0.204,0.161,19
Cercopithecus_diana,FALSE,FALSE,FALSE,0.183,0.178,0.117,3
Cercopithecus_doggetti,FALSE,FALSE,FALSE,0.127,0.087,0.13,21
Cercopithecus_dryas,FALSE,FALSE,FALSE,0.099,0.081,0.106,18
Cercopithecus_erythrogaster,FALSE,FALSE,FALSE,0.101,0.106,0.051,13
Cercopithecus_erythrotis,FALSE,FALSE,FALSE,0.111,0.126,0.074,13
Cercopithecus_hamlyni,FALSE,FALSE,FALSE,0.19,0.139,0.178,21
Cercopithecus_kandti,FALSE,FALSE,FALSE,0.14,0.106,0.106,21
Cercopithecus_lhoesti,FALSE,FALSE,FALSE,0.269,0.205,0.157,10
Cercopithecus_lowei,FALSE,FALSE,FALSE,0.126,0.123,0.097,21
Cercopithecus_mitis,FALSE,FALSE,FALSE,0.736,0.741,0.255,3
Cercopithecus_mona,FALSE,FALSE,FALSE,0.332,0.334,0.16,15
Cercopithecus_neglectus,FALSE,FALSE,FALSE,0.413,0.448,0.212,1
Cercopithecus_nictitans,FALSE,FALSE,FALSE,0.658,0.677,0.27,4
Cercopithecus_petaurista,FALSE,FALSE,FALSE,0.256,0.21,0.233,14
Cercopithecus_pogonias,FALSE,FALSE,FALSE,0.319,0.284,0.149,3
Cercopithecus_preussi,FALSE,FALSE,FALSE,0.164,0.139,0.134,14
Cercopithecus_roloway,FALSE,FALSE,FALSE,0.09,0.05,0.109,21
Cercopithecus_sclateri,FALSE,FALSE,FALSE,0.192,0.167,0.189,18
Cercopithecus_solatus,FALSE,FALSE,FALSE,0.115,0.08,0.104,14
Cercopithecus_wolfi,FALSE,FALSE,FALSE,0.367,0.393,0.263,16
Cheirogaleus_adipicaudatus,FALSE,FALSE,FALSE,0.094,0.099,0.071,21
Cheirogaleus_crossleyi,FALSE,FALSE,FALSE,0.173,0.061,0.271,21
Cheirogaleus_major,FALSE,FALSE,FALSE,0.199,0.223,0.176,3
Cheirogaleus_medius,FALSE,FALSE,FALSE,0.148,0.147,0.111,0
Cheirogaleus_minusculus,FALSE,FALSE,FALSE,0.08,0.084,0.061,21
Cheirogaleus_ravus,FALSE,FALSE,FALSE,0.07,0.055,0.051,21
Cheirogaleus_sibreei,FALSE,FALSE,FALSE,0.096,0.095,0.05,21
Chiropotes_albinasus,TRUE,FALSE,FALSE,0.421,0.379,0.265,7
Chiropotes_satanas,TRUE,FALSE,FALSE,0.398,0.374,0.389,22
Chlorocebus_aethiops,FALSE,TRUE,TRUE,0.268,0.194,0.254,16
Chlorocebus_cynosuros,FALSE,FALSE,FALSE,0.18,0.143,0.185,21
Chlorocebus_djamdjamensis,FALSE,FALSE,FALSE,0.124,0.065,0.143,21
Chlorocebus_pygerythrus,FALSE,FALSE,FALSE,0.712,0.694,0.264,21
Chlorocebus_sabaeus,FALSE,FALSE,FALSE,0.244,0.157,0.214,21
Chlorocebus_tantalus,FALSE,FALSE,FALSE,0.355,0.323,0.235,21
Colobus_angolensis,FALSE,FALSE,FALSE,0.441,0.426,0.161,13
Colobus_guereza,FALSE,FALSE,FALSE,0.592,0.609,0.239,1
Colobus_polykomos,FALSE,FALSE,FALSE,0.255,0.248,0.135,3
Colobus_satanas,FALSE,FALSE,FALSE,0.273,0.263,0.191,8
Colobus_vellerosus,FALSE,FALSE,FALSE,0.343,0.452,0.19,15
Daubentonia_madagascariensis,FALSE,FALSE,FALSE,0.148,0.188,0.104,1
Erythrocebus_patas,FALSE,TRUE,TRUE,0.763,0.916,0.336,2
Eulemur_albifrons,FALSE,FALSE,FALSE,0.126,0.05,0.169,21
Eulemur_albocollaris,FALSE,FALSE,FALSE,0.114,0.098,0.08,20
Eulemur_cinereiceps,FALSE,FALSE,FALSE,0.068,0.069,0.053,21
Eulemur_collaris,FALSE,FALSE,FALSE,0.111,0.078,0.127,21
Eulemur_coronatus,FALSE,FALSE,FALSE,0.215,0.143,0.19,6
Eulemur_fulvus,FALSE,FALSE,FALSE,0.21,0.152,0.184,0
Eulemur_macaco,FALSE,FALSE,FALSE,0.345,0.386,0.199,2
Eulemur_mongoz,FALSE,FALSE,FALSE,0.202,0.149,0.3,2
Eulemur_rubriventer,FALSE,FALSE,FALSE,0.186,0.19,0.172,5
Eulemur_rufus,FALSE,FALSE,FALSE,0.23,0.174,0.251,17
Eulemur_sanfordi,FALSE,FALSE,FALSE,0.08,0.022,0.125,18
Euoticus_elegantulus,FALSE,FALSE,FALSE,0.189,0.187,0.156,11
Euoticus_pallidus,FALSE,FALSE,FALSE,0.054,0.023,0.068,20
Galago_alleni,FALSE,FALSE,FALSE,0.055,0.042,0.053,7
Galago_cameronensis,FALSE,FALSE,FALSE,0.098,0.062,0.1,21
Galago_demidoff,FALSE,FALSE,FALSE,0.165,0.141,0.113,4
Galago_gabonensis,FALSE,FALSE,FALSE,0.181,0.146,0.201,21
Galago_gallarum,FALSE,FALSE,FALSE,0.337,0.261,0.272,20
Galago_granti,FALSE,FALSE,FALSE,0.199,0.193,0.143,21
Galago_matschiei,FALSE,FALSE,FALSE,0.096,0.052,0.122,17
Galago_moholi,FALSE,FALSE,FALSE,0.269,0.306,0.222,6
Galago_nyasae,FALSE,FALSE,FALSE,0.095,0.085,0.084,21
Galago_orinus,FALSE,FALSE,FALSE,0.159,0.148,0.085,21
Galago_rondoensis,FALSE,FALSE,FALSE,0.141,0.081,0.123,21
Galago_senegalensis,FALSE,FALSE,FALSE,0.287,0.313,0.152,4
Galago_thomasi,FALSE,FALSE,FALSE,0.247,0.213,0.193,19
Galago_zanzibaricus,FALSE,FALSE,FALSE,0.388,0.426,0.264,7
Gorilla_beringei,FALSE,FALSE,FALSE,0.276,0.268,0.103,20
Gorilla_gorilla,FALSE,FALSE,FALSE,0.324,0.174,0.317,1
Hapalemur_alaotrensis,FALSE,FALSE,FALSE,0.053,0.037,0.058,20
Hapalemur_aureus,FALSE,FALSE,FALSE,0.128,0.097,0.116,6
Hapalemur_griseus,FALSE,FALSE,FALSE,0.095,0.075,0.112,0
Hapalemur_occidentalis,FALSE,FALSE,FALSE,0.076,0.016,0.093,21
Hylobates_agilis,FALSE,FALSE,FALSE,0.217,0.186,0.21,10
Hylobates_albibarbis,FALSE,FALSE,FALSE,0.335,0.155,0.366,21
Hylobates_klossii,FALSE,FALSE,FALSE,0.119,0.155,0.091,10
Hylobates_lar,FALSE,FALSE,FALSE,0.378,0.269,0.232,3
Hylobates_moloch,FALSE,FALSE,FALSE,0.19,0.164,0.156,9
Hylobates_muelleri,FALSE,FALSE,FALSE,0.332,0.224,0.249,8
Hylobates_pileatus,FALSE,FALSE,FALSE,0.251,0.2,0.231,4
Indri_indri,FALSE,FALSE,FALSE,0.142,0.156,0.065,4
Lagothrix_cana,TRUE,FALSE,FALSE,0.244,0.188,0.151,21
Lagothrix_lagotricha,TRUE,FALSE,FALSE,0.215,0.189,0.136,1
Lagothrix_lugens,TRUE,FALSE,FALSE,0.311,0.239,0.299,21
Lagothrix_poeppigii,TRUE,FALSE,FALSE,0.198,0.231,0.194,21
Lemur_catta,FALSE,TRUE,FALSE,0.153,0.155,0.107,1
Leontopithecus_caissara,TRUE,FALSE,FALSE,0.099,0.102,0.063,16
Leontopithecus_chrysomelas,TRUE,FALSE,FALSE,0.118,0.101,0.135,13
Leontopithecus_chrysopygus,TRUE,FALSE,FALSE,0.144,0.122,0.146,12
Leontopithecus_rosalia,TRUE,FALSE,FALSE,0.139,0.163,0.117,1
Lepilemur_ankaranensis,FALSE,FALSE,FALSE,0.096,0.079,0.102,21
Lepilemur_dorsalis,FALSE,FALSE,FALSE,0.092,0.087,0.085,12
Lepilemur_edwardsi,FALSE,FALSE,FALSE,0.062,0.054,0.065,10
Lepilemur_leucopus,FALSE,FALSE,FALSE,0.054,0.053,0.053,5
Lepilemur_microdon,FALSE,FALSE,FALSE,0.061,0.053,0.064,11
Lepilemur_mustelinus,FALSE,FALSE,FALSE,0.107,0.059,0.158,4
Lepilemur_ruficaudatus,FALSE,FALSE,FALSE,0.099,0.096,0.09,9
Lepilemur_septentrionalis,FALSE,FALSE,FALSE,0.343,0.223,0.366,21
Lophocebus_albigena,FALSE,FALSE,FALSE,0.449,0.484,0.277,0
Lophocebus_aterrimus,FALSE,FALSE,FALSE,0.234,0.18,0.132,13
Lophocebus_opdenboschi,FALSE,FALSE,FALSE,0.181,0.142,0.111,21
Loris_lydekkerianus,FALSE,FALSE,FALSE,0.318,0.329,0.26,20
Loris_tardigradus,FALSE,FALSE,FALSE,0.183,0.164,0.172,1
Macaca_arctoides,FALSE,FALSE,FALSE,0.577,0.5,0.277,7
Macaca_assamensis,FALSE,FALSE,FALSE,0.716,0.854,0.287,17
Macaca_cyclopis,FALSE,FALSE,FALSE,0.468,0.514,0.364,12
Macaca_fascicularis,FALSE,TRUE,FALSE,0.981,1,0.061,4
Macaca_fuscata,FALSE,TRUE,FALSE,0.546,0.521,0.269,3
Macaca_hecki,FALSE,FALSE,FALSE,0.226,0.175,0.187,22
Macaca_leonina,FALSE,TRUE,FALSE,0.349,0.225,0.256,21
Macaca_maura,FALSE,FALSE,FALSE,0.112,0.118,0.103,12
Macaca_mulatta,FALSE,TRUE,FALSE,0.719,0.772,0.303,4
Macaca_nemestrina,FALSE,TRUE,FALSE,0.499,0.544,0.338,4
Macaca_nigra,FALSE,FALSE,FALSE,0.2,0.185,0.13,7
Macaca_nigrescens,FALSE,FALSE,FALSE,0.177,0.143,0.218,21
Macaca_ochreata,FALSE,FALSE,FALSE,0.173,0.065,0.211,20
Macaca_pagensis,FALSE,FALSE,FALSE,0.206,0.192,0.087,14
Macaca_radiata,FALSE,FALSE,FALSE,0.711,0.761,0.19,5
Macaca_siberu,FALSE,FALSE,FALSE,0.195,0.141,0.203,23
Macaca_silenus,FALSE,FALSE,FALSE,0.528,0.388,0.282,0
Macaca_sinica,FALSE,TRUE,FALSE,0.307,0.263,0.166,6
Macaca_sylvanus,FALSE,TRUE,FALSE,0.312,0.327,0.17,1
Macaca_thibetana,FALSE,FALSE,FALSE,0.431,0.414,0.28,11
Macaca_tonkeana,FALSE,FALSE,FALSE,0.282,0.262,0.195,17
Mandrillus_leucophaeus,FALSE,FALSE,FALSE,0.202,0.246,0.107,4
Mandrillus_sphinx,FALSE,TRUE,FALSE,0.349,0.343,0.146,1
Microcebus_berthae,FALSE,FALSE,FALSE,0.052,0.051,0.047,20
Microcebus_griseorufus,FALSE,FALSE,FALSE,0.102,0.102,0.06,20
Microcebus_murinus,FALSE,FALSE,FALSE,0.125,0.099,0.133,0
Microcebus_myoxinus,FALSE,FALSE,FALSE,0.059,0.049,0.056,11
Microcebus_ravelobensis,FALSE,FALSE,FALSE,0.079,0.057,0.062,20
Microcebus_rufus,FALSE,FALSE,FALSE,0.103,0.113,0.071,4
Microcebus_sambiranensis,FALSE,FALSE,FALSE,0.07,0.026,0.117,20
Microcebus_tavaratra,FALSE,FALSE,FALSE,0.074,0.069,0.062,20
Miopithecus_ogouensis,FALSE,FALSE,FALSE,0.2,0.22,0.12,21
Miopithecus_talapoin,FALSE,FALSE,FALSE,0.347,0.312,0.219,0
Mirza_coquereli,FALSE,FALSE,FALSE,0.09,0.058,0.068,0
Nasalis_larvatus,FALSE,FALSE,FALSE,0.624,0.733,0.344,1
Nomascus_concolor,FALSE,FALSE,FALSE,0.176,0.147,0.142,2
Nomascus_gabriellae,FALSE,FALSE,FALSE,0.275,0.27,0.168,19
Nomascus_hainanus,FALSE,FALSE,FALSE,0.33,0.145,0.404,21
Nomascus_leucogenys,FALSE,FALSE,FALSE,0.243,0.339,0.154,16
Nomascus_siki,FALSE,FALSE,FALSE,0.218,0.181,0.218,21
Nycticebus_bengalensis,FALSE,FALSE,FALSE,0.538,0.45,0.315,20
Nycticebus_coucang,FALSE,FALSE,FALSE,0.485,0.389,0.345,3
Nycticebus_pygmaeus,FALSE,FALSE,FALSE,0.213,0.178,0.172,16
Oreonax_flavicauda,TRUE,FALSE,FALSE,0.148,0.135,0.124,8
Otolemur_crassicaudatus,FALSE,FALSE,FALSE,0.534,0.518,0.167,3
Otolemur_garnettii,FALSE,FALSE,FALSE,0.318,0.307,0.229,5
Otolemur_monteiri,FALSE,FALSE,FALSE,0.244,0.261,0.148,19
Pan_paniscus,FALSE,FALSE,FALSE,0.57,0.56,0.32,2
Pan_troglodytes,FALSE,FALSE,FALSE,0.509,0.499,0.309,0
Papio_anubis,FALSE,FALSE,FALSE,0.806,0.796,0.183,7
Papio_cynocephalus,FALSE,FALSE,FALSE,0.702,0.736,0.286,4
Papio_hamadryas,FALSE,FALSE,FALSE,0.372,0.324,0.228,3
Papio_papio,FALSE,FALSE,FALSE,0.261,0.218,0.182,11
Papio_ursinus,FALSE,FALSE,FALSE,0.272,0.257,0.167,4
Perodicticus_potto,FALSE,FALSE,FALSE,0.382,0.354,0.285,1
Phaner_electromontis,FALSE,FALSE,FALSE,0.072,0.06,0.063,21
Phaner_furcifer,FALSE,FALSE,FALSE,0.078,0.116,0.077,6
Phaner_pallescens,FALSE,FALSE,FALSE,0.242,0.226,0.286,21
Phaner_parienti,FALSE,FALSE,FALSE,0.066,0.078,0.049,21
Piliocolobus_badius,FALSE,FALSE,FALSE,0.277,0.252,0.139,3
Piliocolobus_foai,FALSE,FALSE,FALSE,0.283,0.294,0.15,21
Piliocolobus_gordonorum,FALSE,FALSE,FALSE,0.134,0.111,0.121,21
Piliocolobus_kirkii,FALSE,FALSE,FALSE,0.124,0.14,0.097,13
Piliocolobus_pennantii,FALSE,FALSE,FALSE,0.214,0.194,0.174,18
Piliocolobus_preussi,FALSE,FALSE,FALSE,0.292,0.212,0.243,9
Piliocolobus_rufomitratus,FALSE,FALSE,FALSE,0.23,0.163,0.211,8
Piliocolobus_tephrosceles,FALSE,FALSE,FALSE,0.321,0.307,0.164,17
Piliocolobus_tholloni,FALSE,FALSE,FALSE,0.232,0.232,0.146,20
Pithecia_aequatorialis,TRUE,FALSE,FALSE,0.147,0.125,0.109,14
Pithecia_albicans,TRUE,FALSE,FALSE,0.114,0.096,0.109,16
Pithecia_irrorata,TRUE,FALSE,FALSE,0.189,0.148,0.106,16
Pithecia_monachus,TRUE,FALSE,FALSE,0.32,0.313,0.271,9
Pithecia_pithecia,TRUE,TRUE,FALSE,0.183,0.193,0.143,2
Pongo_abelii,FALSE,FALSE,FALSE,0.197,0.214,0.108,20
Pongo_pygmaeus,FALSE,FALSE,FALSE,0.294,0.362,0.194,0
Presbytis_chrysomelas,FALSE,FALSE,FALSE,0.211,0.163,0.201,21
Presbytis_comata,FALSE,FALSE,FALSE,0.379,0.371,0.22,8
Presbytis_femoralis,FALSE,FALSE,FALSE,0.464,0.334,0.367,16
Presbytis_frontata,FALSE,FALSE,FALSE,0.272,0.332,0.22,18
Presbytis_hosei,FALSE,FALSE,FALSE,0.235,0.149,0.269,15
Presbytis_melalophos,FALSE,FALSE,FALSE,0.186,0.129,0.19,10
Presbytis_natunae,FALSE,FALSE,FALSE,0.115,0.065,0.123,23
Presbytis_potenziani,FALSE,FALSE,FALSE,0.143,0.109,0.118,15
Presbytis_rubicunda,FALSE,FALSE,FALSE,0.357,0.328,0.262,10
Presbytis_siamensis,FALSE,FALSE,FALSE,0.39,0.31,0.32,18
Presbytis_thomasi,FALSE,FALSE,FALSE,0.262,0.241,0.156,14
Procolobus_verus,FALSE,FALSE,FALSE,0.147,0.072,0.196,10
Prolemur_simus,FALSE,FALSE,FALSE,0.189,0.145,0.139,8
Propithecus_coquereli,FALSE,FALSE,FALSE,0.13,0.15,0.08,11
Propithecus_deckenii,FALSE,FALSE,FALSE,0.163,0.129,0.113,21
Propithecus_diadema,FALSE,FALSE,FALSE,0.149,0.111,0.137,2
Propithecus_edwardsi,FALSE,FALSE,FALSE,0.104,0.075,0.127,18
Propithecus_perrieri,FALSE,FALSE,FALSE,0.069,0.025,0.087,21
Propithecus_tattersalli,FALSE,FALSE,FALSE,0.118,0.097,0.135,8
Propithecus_verreauxi,FALSE,FALSE,FALSE,0.199,0.147,0.153,1
Pygathrix_cinerea,FALSE,FALSE,FALSE,0.127,0.112,0.084,21
Pygathrix_nemaeus,FALSE,FALSE,FALSE,0.385,0.365,0.253,8
Pygathrix_nigripes,FALSE,FALSE,FALSE,0.289,0.246,0.22,16
Rhinopithecus_avunculus,FALSE,FALSE,FALSE,0.332,0.28,0.24,13
Rhinopithecus_bieti,FALSE,FALSE,FALSE,0.279,0.205,0.277,10
Rhinopithecus_brelichi,FALSE,FALSE,FALSE,0.321,0.279,0.245,9
Rhinopithecus_roxellana,FALSE,FALSE,FALSE,0.343,0.385,0.231,9
Saguinus_bicolor,TRUE,FALSE,FALSE,0.156,0.117,0.156,11
Saguinus_fuscicollis,TRUE,FALSE,FALSE,0.196,0.208,0.118,2
Saguinus_geoffroyi,TRUE,FALSE,FALSE,0.206,0.231,0.129,8
Saguinus_graellsi,TRUE,FALSE,FALSE,0.138,0.115,0.134,21
Saguinus_imperator,TRUE,FALSE,FALSE,0.079,0.098,0.056,9
Saguinus_inustus,TRUE,FALSE,FALSE,0.163,0.13,0.134,17
Saguinus_labiatus,TRUE,FALSE,FALSE,0.181,0.163,0.143,8
Saguinus_leucopus,TRUE,FALSE,FALSE,0.156,0.062,0.163,9
Saguinus_martinsi,TRUE,FALSE,FALSE,0.114,0.108,0.101,21
Saguinus_melanoleucus,TRUE,FALSE,FALSE,0.088,0.082,0.075,21
Saguinus_midas,TRUE,TRUE,FALSE,0.223,0.22,0.114,1
Saguinus_mystax,TRUE,FALSE,FALSE,0.319,0.3,0.171,6
Saguinus_niger,TRUE,FALSE,FALSE,0.197,0.185,0.171,21
Saguinus_nigricollis,TRUE,FALSE,FALSE,0.1,0.076,0.101,8
Saguinus_oedipus,TRUE,FALSE,FALSE,0.217,0.234,0.194,1
Saguinus_pileatus,TRUE,FALSE,FALSE,0.164,0.133,0.155,21
Saguinus_tripartitus,TRUE,FALSE,FALSE,0.1,0.097,0.076,17
Saimiri_boliviensis,TRUE,FALSE,FALSE,0.343,0.339,0.233,14
Saimiri_oerstedii,TRUE,FALSE,FALSE,0.089,0.026,0.138,7
Saimiri_sciureus,TRUE,FALSE,FALSE,0.444,0.433,0.206,1
Saimiri_ustus,TRUE,FALSE,FALSE,0.154,0.176,0.092,14
Saimiri_vanzolinii,TRUE,FALSE,FALSE,0.134,0.112,0.112,17
Semnopithecus_ajax,FALSE,FALSE,FALSE,0.238,0.181,0.196,21
Semnopithecus_dussumieri,FALSE,FALSE,FALSE,0.491,0.381,0.335,21
Semnopithecus_entellus,FALSE,FALSE,FALSE,0.593,0.555,0.239,3
Semnopithecus_hector,FALSE,FALSE,FALSE,0.194,0.179,0.124,21
Semnopithecus_hypoleucos,FALSE,FALSE,FALSE,0.366,0.299,0.303,19
Semnopithecus_priam,FALSE,FALSE,FALSE,0.44,0.372,0.376,21
Semnopithecus_schistaceus,FALSE,FALSE,FALSE,0.246,0.183,0.203,21
Simias_concolor,FALSE,FALSE,FALSE,0.145,0.193,0.126,11
Symphalangus_syndactylus,FALSE,FALSE,FALSE,0.303,0.291,0.252,3
Tarsius_bancanus,FALSE,FALSE,FALSE,0.134,0.119,0.138,1
Tarsius_dentatus,FALSE,FALSE,FALSE,0.111,0.132,0.079,14
Tarsius_pelengensis,FALSE,FALSE,FALSE,0.096,0.057,0.124,21
Tarsius_pumilus,FALSE,FALSE,FALSE,0.129,0.088,0.12,18
Tarsius_sangirensis,FALSE,FALSE,FALSE,0.101,0.018,0.154,23
Tarsius_syrichta,FALSE,FALSE,FALSE,0.094,0.079,0.103,7
Tarsius_tarsier,FALSE,FALSE,FALSE,0.283,0.217,0.219,3
Theropithecus_gelada,FALSE,FALSE,FALSE,0.404,0.343,0.176,3
